discount,promoCode,promoExpiryDate
0.27,HCDJVR,2021-12-01
0.28,XMXOPG,2021-11-06
0.15,YFMLWA,2021-11-14
0.43,NXSTOZ,2021-12-24
0.4,AGCRWT,2021-12-25
0.19,KSLOFM,2021-12-29
0.41,PLYLSU,2021-11-21
0.2,PAWJZV,2021-12-03
0.1,VUYWIG,2021-11-04
0.5,AZUJMX,2021-12-29
0.16,SYHHZJ,2021-11-04
0.15,MEEYRD,2021-11-20
0.45,IVXBSV,2021-11-15
0.39,ZAXPZW,2021-12-30
0.43,OFVREA,2021-11-25
0.21,JKEPLU,2021-11-17
0.44,IDTFWX,2021-12-25
0.3,QLUUMC,2021-12-18
0.5,ZLIAHY,2021-11-06
0.24,AUGDIM,2021-12-23
0.27,CZGDEE,2021-11-16
0.24,JATSQQ,2021-12-22
0.49,NKRQEJ,2021-11-17
0.41,MNOSMZ,2021-11-08
0.39,LNWCPR,2021-11-04
0.21,SHUQTQ,2021-11-17
0.45,BEQZIB,2021-12-23
0.14,YOJNOI,2021-12-26
0.45,CJENMP,2021-12-22
0.25,RFWTSW,2021-12-21
0.11,HNNWIJ,2021-11-01
0.28,WQTPHE,2021-12-23
0.18,XYGSJW,2021-12-13
0.26,URKLQK,2021-12-26
0.14,OKMSIO,2021-11-05
0.15,TEHVCP,2021-11-09
0.21,LGKXTB,2021-11-22
0.17,GEPTQM,2021-12-03
0.13,MORJWL,2021-11-15
0.29,NAWBMD,2021-12-22
0.42,BDVUWA,2021-11-11
0.5,LNEFTG,2021-11-11
0.1,EQQLOQ,2021-11-24
0.18,RYQLJE,2021-12-23
0.33,WASWDE,2021-11-05
0.25,SITZKM,2021-11-29
0.13,CTOLPC,2021-12-07
0.4,PITNRV,2021-11-12
0.2,EUXUZZ,2021-11-12
0.5,IZWCUI,2021-11-21
0.31,GOIIOG,2021-12-17
0.35,IXBSFD,2021-12-21
0.4,SWXYCM,2021-11-21
0.41,CTGJRP,2021-12-03
0.15,BIZGTS,2021-12-24
0.17,BAYBVZ,2021-12-01
0.34,UOSCJN,2021-11-22
0.12,MUIOWR,2021-11-15
0.17,UDBXUP,2021-12-15
0.24,XSTIMT,2021-11-24
0.39,XJIMTC,2021-11-30
0.34,GUOYRU,2021-11-24
0.1,NHXRCC,2021-11-29
0.46,YLBDWG,2021-11-08
0.11,UVRPAP,2021-11-12
0.36,WDITIR,2021-12-15
0.22,OITLHY,2021-12-15
0.37,KLVWDT,2021-11-13
0.11,PHXHIZ,2021-12-21
0.35,ANOBNH,2021-12-07
0.4,UKTBRV,2021-12-03
0.22,DBBPGD,2021-11-21
0.5,YLFNJH,2021-11-04
0.22,OASUOB,2021-11-29
0.44,NLOIWC,2021-12-07
0.28,CGLHKD,2021-11-02
0.22,QNHDVX,2021-12-02
0.28,AYXRWZ,2021-12-18
0.46,LKVFBF,2021-12-25
0.45,XULFCX,2021-11-02
0.21,YPKJWC,2021-12-26
0.28,DZJCAX,2021-12-18
0.35,GSOFEH,2021-12-22
0.38,XQDLCW,2021-11-07
0.22,SJOQJX,2021-11-06
0.41,TUQZUP,2021-12-19
0.5,NEYJBA,2021-11-11
0.44,TAGMZO,2021-11-23
0.18,MRJYDE,2021-11-21
0.31,BBFJYJ,2021-12-29
0.25,VGNBJY,2021-11-25
0.14,EHIWIN,2021-12-31
0.19,AVLDAS,2021-11-17
0.22,XMVVTV,2021-12-02
0.23,UXIWYH,2021-11-26
0.3,BSOPWZ,2021-12-05
0.38,KVPWXM,2021-11-19
0.17,MACBBC,2021-12-15
0.33,LASPAC,2021-11-20
0.41,DMYYPA,2021-12-15
0.12,CLAHVF,2021-11-24
0.15,FZDKRK,2021-11-05
0.34,VEJELW,2021-11-04
0.45,VXLSVR,2021-11-29
0.13,XBXESK,2021-11-09
0.19,RYWBKV,2021-12-04
0.36,VIGUQV,2021-12-01
0.25,JYCVPO,2021-12-29
0.26,VMEROF,2021-12-02
0.27,LVGWKL,2021-12-23
0.41,WXNUZF,2021-11-15
0.13,JGDVNO,2021-11-29
0.11,FXCCAP,2021-11-20
0.21,LGQJJI,2021-11-19
0.3,XDAORK,2021-12-27
0.41,MUDJPG,2021-12-14
0.17,ANHJPV,2021-11-05
0.36,BDZZQW,2021-11-06
0.31,LFXTLI,2021-11-23
0.29,GEAHZB,2021-12-20
0.17,RNPWLT,2021-12-24
0.27,HOSDYC,2021-12-16
0.12,JWFWOB,2021-11-26
0.41,DLKANY,2021-11-29
0.37,GMCMZE,2021-11-21
0.25,TNVYFX,2021-12-08
0.41,EZPSNP,2021-11-26
0.38,OXZUJP,2021-11-01
0.28,UEEFEU,2021-11-22
0.29,PZHADJ,2021-12-29
0.27,PAZMWB,2021-11-19
0.49,WZZMVV,2021-12-05
0.25,IQTEMJ,2021-12-09
0.36,DXVYRX,2021-12-17
0.43,MWSDLD,2021-12-04
0.42,YYQDRX,2021-11-27
0.26,YCCXND,2021-11-22
0.35,KPVPAT,2021-11-01
0.15,ZPHPNG,2021-12-06
0.46,RNTYDM,2021-12-29
0.31,LVKTPS,2021-12-11
0.25,ZXWIBE,2021-12-06
0.41,PZRLHX,2021-11-05
0.26,ADOGOF,2021-11-16
0.36,ABIKJA,2021-11-23
0.37,DUMQYG,2021-11-18
0.42,ARLGYD,2021-12-27
0.19,CEHYKM,2021-12-15
0.23,EWAQII,2021-11-23
0.43,MMPSFY,2021-11-09
0.17,JLGHVI,2021-12-30
0.24,PLDQDT,2021-12-12
0.43,ULGJVI,2021-12-31
0.17,XGXXEX,2021-11-17
0.16,GZTOQV,2021-12-27
0.44,RSAECK,2021-11-06
0.4,LCELYE,2021-12-29
0.5,GVYZPX,2021-12-05
0.22,OWTNUJ,2021-12-05
0.3,ENBHUC,2021-12-19
0.13,ITXJBV,2021-11-19
0.13,PPPUIJ,2021-11-18
0.26,XUSNMT,2021-11-30
0.49,GTLVBY,2021-11-09
0.13,PNSEIQ,2021-11-12
0.24,MXKECW,2021-12-09
0.16,HPFTKH,2021-12-17
0.45,DWYIZH,2021-12-29
0.47,VGRBPN,2021-11-27
0.35,PEZYCD,2021-12-13
0.27,DDNMEM,2021-11-03
0.32,UXOIKC,2021-11-13
0.25,TCBHEV,2021-11-25
0.32,UFCHYN,2021-12-28
0.49,EQHWUX,2021-12-26
0.11,BFVWJM,2021-12-01
0.1,FJMJJI,2021-11-09
0.36,JEFLRG,2021-12-25
0.32,MNQTST,2021-12-05
0.11,TPHBQU,2021-12-20
0.24,KXBHTY,2021-11-26
0.36,PGJYAO,2021-12-06
0.37,CIZSDN,2021-11-15
0.31,BYFJXM,2021-11-10
0.35,MBWUMC,2021-11-07
0.21,VKNMRX,2021-11-01
0.26,JWLFIL,2021-12-30
0.48,JEIVWA,2021-11-22
0.48,LMFITM,2021-12-26
0.32,QDSJZX,2021-12-25
0.28,NUZXIG,2021-12-17
0.17,YTRIKX,2021-11-14
0.1,IVBBAW,2021-11-11
0.41,LFEETR,2021-12-10
0.22,CZQMRM,2021-12-09
0.1,PBSFOY,2021-11-13
0.35,XAZUUH,2021-11-03
0.34,AIKULM,2021-12-20
0.36,YEOEBG,2021-12-16
0.35,EQGAQX,2021-12-09
0.17,INTAOE,2021-11-12
0.14,KIBSLR,2021-12-05
0.25,DWXJVB,2021-11-13
0.17,SBTJUT,2021-11-21
0.5,RTNRXC,2021-11-10
